qq号,性别,年龄,国家,省份,城市,职业,留言数量,日志数量,说说数量,照片数量
548513664,2,21,中国,浙江,金华,财务/审计/统计,1,0,158,363
1104403968,2,23,中国,广东,深圳,财务/审计/统计,1,5,34,11
343926145,2,30,中国,浙江,温州,财务/审计/统计,1,140,25,176
916341378,1,20,中国,青海,西宁,财务/审计/统计,3,2,316,199
474425728,2,44,中国,山东,枣庄,财务/审计/统计,4,2,0,76
895473824,1,21,中国,宁夏,中卫,财务/审计/统计,16,37,74,10
827035457,1,14,中国,湖南,岳阳,财务/审计/统计,41,10,734,1
646840833,2,23,中国,湖南,邵阳,财务/审计/统计,41,311,418,605
416670433,2,26,中国,山西,运城,财务/审计/统计,52,54,208,480
153623009,2,27,中国,上海,杨浦,财务/审计/统计,52,165,319,1479
511769760,2,28,中国,北京,朝阳,财务/审计/统计,124,322,382,2292
623246465,1,26,中国,内蒙古,鄂尔多斯,财务/审计/统计,164,162,456,524
474762720,2,25,中国,西藏,拉萨,财务/审计/统计,167,42,262,1375
